Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"JAProject.exe",54 752,0,"100,00","0,00","",
0,"dllmain_crt_dispatch",25 848,25 848,"47,21","47,21","JADLL.dll",
0,"TransformBMP",10 593,10 593,"19,35","19,35","JADLL.dll",
0,"[ntdll.dll]",9 508,31,"17,37","0,06","ntdll.dll",
1,"[kernel32.dll]",9 381,0,"17,13","0,00","kernel32.dll",
2,"[ucrtbase.dll]",7 115,0,"12,99","0,00","ucrtbase.dll",
3,"std::_Pad::_Call_func",7 110,0,"12,99","0,00","JAProject.exe",
4,"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",7 109,2,"12,98","0,00","JAProject.exe",
5,"TransformBMP",7 015,7 015,"12,81","12,81","JADLLC.dll",
5,"[KernelBase.dll]",76,0,"0,14","0,00","KernelBase.dll",
6,"[KernelBase.dll]",69,0,"0,13","0,00","KernelBase.dll",
7,"[KernelBase.dll]",68,2,"0,12","0,00","KernelBase.dll",
8,"[ntdll.dll]",66,4,"0,12","0,01","ntdll.dll",
9,"[ntdll.dll]",62,0,"0,11","0,00","ntdll.dll",
10,"[ntdll.dll]",62,2,"0,11","0,00","ntdll.dll",
11,"[ntdll.dll]",60,2,"0,11","0,00","ntdll.dll",
12,"[ntdll.dll]",58,2,"0,11","0,00","ntdll.dll",
13,"[ntdll.dll]",56,2,"0,10","0,00","ntdll.dll",
14,"[ntdll.dll]",54,17,"0,10","0,03","ntdll.dll",
15,"[ntdll.dll]",37,3,"0,07","0,01","ntdll.dll",
16,"[ntdll.dll]",34,9,"0,06","0,02","ntdll.dll",
17,"[kernel32.dll]",25,0,"0,05","0,00","kernel32.dll",
18,"[KernelBase.dll]",24,0,"0,04","0,00","KernelBase.dll",
19,"[kernel32.dll]",24,0,"0,04","0,00","kernel32.dll",
20,"[kernel32.dll]",22,0,"0,04","0,00","kernel32.dll",
21,"[kernel32.dll]",19,0,"0,03","0,00","kernel32.dll",
22,"[ntdll.dll]",19,0,"0,03","0,00","ntdll.dll",
23,"[ntdll.dll]",19,2,"0,03","0,00","ntdll.dll",
24,"[ntdll.dll]",17,1,"0,03","0,00","ntdll.dll",
25,"[ntdll.dll]",16,4,"0,03","0,01","ntdll.dll",
26,"[ntdll.dll]",12,3,"0,02","0,01","ntdll.dll",
27,"[ntdll.dll]",9,3,"0,02","0,01","ntdll.dll",
28,"[ntdll.dll]",6,2,"0,01","0,00","ntdll.dll",
29,"[ntdll.dll]",4,3,"0,01","0,01","ntdll.dll",
30,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
21,"[ntdll.dll]",3,3,"0,01","0,01","ntdll.dll",
20,"[ntdll.dll]",2,0,"0,00","0,00","ntdll.dll",
21,"[ntdll.dll]",2,0,"0,00","0,00","ntdll.dll",
22,"[ntdll.dll]",2,1,"0,00","0,00","ntdll.dll",
23,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
24,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
18,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
19,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
20,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
21,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
22,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
7,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
8,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
9,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
6,"[ntdll.dll]",7,3,"0,01","0,01","ntdll.dll",
7,"[ntdll.dll]",4,1,"0,01","0,00","ntdll.dll",
8,"[ntdll.dll]",3,1,"0,01","0,00","ntdll.dll",
9,"[ntdll.dll]",2,1,"0,00","0,00","ntdll.dll",
10,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
11,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
5,"[msvcp140.dll]",10,0,"0,02","0,00","msvcp140.dll",
6,"[ntdll.dll]",8,2,"0,01","0,00","ntdll.dll",
7,"[ntdll.dll]",6,6,"0,01","0,01","ntdll.dll",
6,"[kernel32.dll]",2,2,"0,00","0,00","kernel32.dll",
5,"[ucrtbase.dll]",6,2,"0,01","0,00","ucrtbase.dll",
6,"[ntdll.dll]",4,1,"0,01","0,00","ntdll.dll",
7,"[ntdll.dll]",3,2,"0,01","0,00","ntdll.dll",
8,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
9,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
10,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
4,"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go",1,1,"0,00","0,00","JAProject.exe",
3,"[ucrtbase.dll]",5,2,"0,01","0,00","ucrtbase.dll",
4,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
4,"[ucrtbase.dll]",1,0,"0,00","0,00","ucrtbase.dll",
5,"[ucrtbase.dll]",1,1,"0,00","0,00","ucrtbase.dll",
4,"[KernelBase.dll]",1,1,"0,00","0,00","KernelBase.dll",
2,"__scrt_common_main_seh",2 266,0,"4,14","0,00","JAProject.exe",
3,"main",2 266,0,"4,14","0,00","JAProject.exe",
4,"BMPTransformer::Transform",877,0,"1,60","0,00","JAProject.exe",
5,"std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",859,0,"1,57","0,00","JAProject.exe",
6,"[msvcp140.dll]",859,0,"1,57","0,00","msvcp140.dll",
7,"[ucrtbase.dll]",837,0,"1,53","0,00","ucrtbase.dll",
8,"[kernel32.dll]",834,0,"1,52","0,00","kernel32.dll",
9,"[KernelBase.dll]",834,2,"1,52","0,00","KernelBase.dll",
10,"[ntdll.dll]",832,832,"1,52","1,52","ntdll.dll",
8,"[ntdll.dll]",2,0,"0,00","0,00","ntdll.dll",
9,"[ntdll.dll]",2,2,"0,00","0,00","ntdll.dll",
8,"[ucrtbase.dll]",1,0,"0,00","0,00","ucrtbase.dll",
9,"[KernelBase.dll]",1,0,"0,00","0,00","KernelBase.dll",
10,"[ntdll.dll]",1,0,"0,00","0,00","ntdll.dll",
11,"[ntdll.dll]",1,1,"0,00","0,00","ntdll.dll",
7,"[msvcp140.dll]",22,1,"0,04","0,00","msvcp140.dll",
8,"[msvcp140.dll]",21,0,"0,04","0,00","msvcp140.dll",
9,"[KernelBase.dll]",21,0,"0,04","0,00","KernelBase.dll",
10,"[ntdll.dll]",21,9,"0,04","0,02","ntdll.dll",
11,"[ntdll.dll]",12,12,"0,02","0,02","ntdll.dll",
5,"[msvcp140.dll]",12,0,"0,02","0,00","msvcp140.dll",
6,"[KernelBase.dll]",12,1,"0,02","0,00","KernelBase.dll",
7,"[ntdll.dll]",11,11,"0,02","0,02","ntdll.dll",
5,"std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",2,0,"0,00","0,00","JAProject.exe",
6,"operator new",2,0,"0,00","0,00","JAProject.exe",
7,"[ucrtbase.dll]",2,0,"0,00","0,00","ucrtbase.dll",
8,"[ntdll.dll]",2,0,"0,00","0,00","ntdll.dll",
9,"[ntdll.dll]",2,2,"0,00","0,00","ntdll.dll",
