Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[kernel32.dll]","[kernel32.dll]",9 381,3,"17,13","0,01",
"Caller","[kernel32.dll]","[kernel32.dll]",22,0,"0,04","0,00",
"Caller","[kernel32.dll]","[KernelBase.dll]",24,0,"0,04","0,00",
"Caller","[kernel32.dll]","[msvcp140.dll]",2,2,"0,00","0,00",
"Caller","[kernel32.dll]","[ntdll.dll]",9 381,0,"17,13","0,00",
"Caller","[kernel32.dll]","[ucrtbase.dll]",835,1,"1,53","0,00",
"Callee","[kernel32.dll]","[kernel32.dll]",22,0,"0,04","0,00",
"Callee","[kernel32.dll]","[KernelBase.dll]",858,2,"1,57","0,00",
"Callee","[kernel32.dll]","[ntdll.dll]",25,3,"0,05","0,01",
"Callee","[kernel32.dll]","[ucrtbase.dll]",7 115,0,"12,99","0,00",
"Callee","[kernel32.dll]","__scrt_common_main_seh",2 266,0,"4,14","0,00",
"Root","[KernelBase.dll]","[KernelBase.dll]",2 255,17,"4,12","0,03",
"Caller","[KernelBase.dll]","[kernel32.dll]",858,2,"1,57","0,00",
"Caller","[KernelBase.dll]","[KernelBase.dll]",456,13,"0,83","0,02",
"Caller","[KernelBase.dll]","[msvcp140.dll]",33,1,"0,06","0,00",
"Caller","[KernelBase.dll]","[ntdll.dll]",54,0,"0,10","0,00",
"Caller","[KernelBase.dll]","[ucrtbase.dll]",1 258,1,"2,30","0,00",
"Caller","[KernelBase.dll]","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",76,0,"0,14","0,00",
"Callee","[KernelBase.dll]","[kernel32.dll]",24,0,"0,04","0,00",
"Callee","[KernelBase.dll]","[KernelBase.dll]",456,13,"0,83","0,02",
"Callee","[KernelBase.dll]","[ntdll.dll]",2 238,2 153,"4,09","3,93",
"Root","[msvcp140.dll]","[msvcp140.dll]",898,2,"1,64","0,00",
"Caller","[msvcp140.dll]","[msvcp140.dll]",22,1,"0,04","0,00",
"Caller","[msvcp140.dll]","[ntdll.dll]",1,1,"0,00","0,00",
"Caller","[msvcp140.dll]","BMPTransformer::Transform",12,0,"0,02","0,00",
"Caller","[msvcp140.dll]","std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",10,0,"0,02","0,00",
"Caller","[msvcp140.dll]","std::basic_filebuf<char,std::char_traits<char> >::open",16,0,"0,03","0,00",
"Caller","[msvcp140.dll]","std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",859,0,"1,57","0,00",
"Callee","[msvcp140.dll]","[kernel32.dll]",2,2,"0,00","0,00",
"Callee","[msvcp140.dll]","[KernelBase.dll]",33,1,"0,06","0,00",
"Callee","[msvcp140.dll]","[msvcp140.dll]",22,1,"0,04","0,00",
"Callee","[msvcp140.dll]","[ntdll.dll]",8,2,"0,01","0,00",
"Callee","[msvcp140.dll]","[ucrtbase.dll]",853,0,"1,56","0,00",
"Root","[msvcrt.dll]","[msvcrt.dll]",5,2,"0,01","0,00",
"Caller","[msvcrt.dll]","[msvcrt.dll]",5,2,"0,01","0,00",
"Caller","[msvcrt.dll]","[ntdll.dll]",5,0,"0,01","0,00",
"Callee","[msvcrt.dll]","[msvcrt.dll]",5,2,"0,01","0,00",
"Callee","[msvcrt.dll]","[ntdll.dll]",3,2,"0,01","0,00",
"Root","[ntdll.dll]","[ntdll.dll]",9 508,2 453,"17,37","4,48",
"Caller","[ntdll.dll]","[kernel32.dll]",25,3,"0,05","0,01",
"Caller","[ntdll.dll]","[KernelBase.dll]",2 238,2 153,"4,09","3,93",
"Caller","[ntdll.dll]","[msvcp140.dll]",8,2,"0,01","0,00",
"Caller","[ntdll.dll]","[msvcrt.dll]",3,2,"0,01","0,00",
"Caller","[ntdll.dll]","[ntdll.dll]",328,255,"0,60","0,47",
"Caller","[ntdll.dll]","[ucrtbase.dll]",152,6,"0,28","0,01",
"Caller","[ntdll.dll]","[vcruntime140.dll]",1,1,"0,00","0,00",
"Callee","[ntdll.dll]","[kernel32.dll]",9 381,0,"17,13","0,00",
