Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"dllmain_crt_dispatch",25 848,25 848,"47,21","47,21",
"TransformBMP",10 593,10 593,"19,35","19,35",
"TransformBMP",7 015,7 015,"12,81","12,81",
"[ntdll.dll]",9 508,2 453,"17,37","4,48",
"__security_check_cookie",1 210,1 210,"2,21","2,21",
"dllmain_dispatch",963,963,"1,76","1,76",
"dllmain_crt_process_detach",934,934,"1,71","1,71",
"dllmain_crt_process_attach",808,808,"1,48","1,48",
"__scrt_initialize_onexit_tables",632,632,"1,15","1,15",
"__report_gsfailure",558,558,"1,02","1,02",
"__security_init_cookie",536,536,"0,98","0,98",
"DllMain",509,509,"0,93","0,93",
"__scrt_is_nonwritable_in_current_image",426,426,"0,78","0,78",
"capture_previous_context",393,393,"0,72","0,72",
"__scrt_dllmain_exception_filter",293,293,"0,54","0,54",
"__scrt_initialize_crt",252,252,"0,46","0,46",
"__scrt_acquire_startup_lock",222,222,"0,41","0,41",
"_DllMainCRTStartup",210,210,"0,38","0,38",
"__raise_securityfailure",193,193,"0,35","0,35",
"__scrt_dllmain_crt_thread_attach",152,152,"0,28","0,28",
"__scrt_dllmain_after_initialize_c",132,132,"0,24","0,24",
"__scrt_dllmain_before_initialize_c",97,97,"0,18","0,18",
"__scrt_dllmain_uninitialize_c",68,68,"0,12","0,12",
"__scrt_initialize_default_local_stdio_options",68,68,"0,12","0,12",
"__scrt_dllmain_crt_thread_detach",42,42,"0,08","0,08",
"__scrt_dllmain_uninitialize_critical",39,39,"0,07","0,07",
"__local_stdio_printf_options",26,26,"0,05","0,05",
"__scrt_uninitialize_type_info",25,25,"0,05","0,05",
"[KernelBase.dll]",2 255,17,"4,12","0,03",
"__scrt_initialize_type_info",14,14,"0,03","0,03",
"[ucrtbase.dll]",9 360,11,"17,10","0,02",
"[kernel32.dll]",9 381,3,"17,13","0,01",
"[msvcp140.dll]",898,2,"1,64","0,00",
"[msvcrt.dll]",5,2,"0,01","0,00",
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",7 109,2,"12,98","0,00",
"__scrt_release_startup_lock",1,1,"0,00","0,00",
"BMPReader::WriteBMP",609,1,"1,11","0,00",
"dllmain_dispatch",1,1,"0,00","0,00",
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go",1,1,"0,00","0,00",
"[vcruntime140.dll]",2,0,"0,00","0,00",
"__scrt_common_main_seh",2 266,0,"4,14","0,00",
"_scprintf",1,0,"0,00","0,00",
"BMPReader::ReadBMP",652,0,"1,19","0,00",
"BMPTransformer::Cleanup",433,0,"0,79","0,00",
"BMPTransformer::Transform",877,0,"1,60","0,00",
"BMPTransformer::ValidateParams",652,0,"1,19","0,00",
"main",2 266,0,"4,14","0,00",
"operator new",11,0,"0,02","0,00",
"std::_Pad::_Call_func",7 110,0,"12,99","0,00",
"std::basic_filebuf<char,std::char_traits<char> >::close",3,0,"0,01","0,00",
"std::basic_filebuf<char,std::char_traits<char> >::open",16,0,"0,03","0,00",
"std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",859,0,"1,57","0,00",
"std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>",1,0,"0,00","0,00",
"std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",2,0,"0,00","0,00",
