Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"dllmain_crt_dispatch",11 081,"20,24",0x7FFCCA5711FA,139,0,139,0,
"dllmain_crt_dispatch",10 507,"19,19",0x7FFCCA5711D7,141,0,141,0,
"TransformBMP",1 399,"2,56",0x7FFCCA5710B9,24,0,24,0,
"dllmain_crt_dispatch",1 236,"2,26",0x7FFCCA5711ED,145,0,145,0,
"dllmain_crt_dispatch",1 075,"1,96",0x7FFCCA5711F0,138,0,138,0,
"[KernelBase.dll]",831,"1,52",0x7FFCCDB56D74,0,0,0,0,
"TransformBMP",649,"1,19",0x7FFCCA571118,26,0,26,0,
"[KernelBase.dll]",617,"1,13",0x7FFCCDB15227,0,0,0,0,
"dllmain_crt_dispatch",595,"1,09",0x7FFCCA5711C2,136,0,136,0,
"TransformBMP",581,"1,06",0x7FFCCA5710E8,25,0,25,0,
"dllmain_crt_process_detach",463,"0,85",0x7FFCCA57133F,96,0,96,0,
"[KernelBase.dll]",332,"0,61",0x7FFCCDB142D6,0,0,0,0,
"__security_check_cookie",304,"0,56",0x7FFCCA571197,48,0,48,0,
"DllMain",300,"0,55",0x7FFCCA57100D,0,0,0,0,
"TransformBMP",295,"0,54",0x7FFCCA571084,15,0,15,0,
"TransformBMP",293,"0,54",0x7FFCCA57111E,26,0,26,0,
"TransformBMP",290,"0,53",0x7FFCCA5710A8,24,0,24,0,
"TransformBMP",286,"0,52",0x7FFCCA5710BF,25,0,25,0,
"TransformBMP",283,"0,52",0x7FFCCA571011,5,0,5,0,
"dllmain_crt_process_attach",282,"0,52",0x7FFCCA571209,34,0,34,0,
"TransformBMP",282,"0,52",0x7FFCCA571185,0,0,0,0,
"TransformBMP",281,"0,51",0x7FFCCA571184,0,0,0,0,
"TransformBMP",280,"0,51",0x7FFCCA571053,15,0,15,0,
"[KernelBase.dll]",275,"0,50",0x7FFCCDB150AA,0,0,0,0,
"__security_check_cookie",274,"0,50",0x7FFCCA5711A9,62,0,62,0,
"TransformBMP",269,"0,49",0x7FFCCA571096,24,0,24,0,
"TransformBMP",267,"0,49",0x7FFCCA571188,0,0,0,0,
"TransformBMP",264,"0,48",0x7FFCCA571135,26,0,26,0,
"dllmain_crt_dispatch",263,"0,48",0x7FFCCA5711B4,135,0,135,0,
"dllmain_crt_dispatch",262,"0,48",0x7FFCCA5711DB,141,0,141,0,
"TransformBMP",255,"0,47",0x7FFCCA571039,12,0,12,0,
"TransformBMP",252,"0,46",0x7FFCCA5710EE,26,0,26,0,
"TransformBMP",250,"0,46",0x7FFCCA571043,14,0,14,0,
"TransformBMP",241,"0,44",0x7FFCCA571101,26,0,26,0,
"TransformBMP",234,"0,43",0x7FFCCA57111C,26,0,26,0,
"dllmain_crt_process_attach",230,"0,42",0x7FFCCA571208,34,0,34,0,
"TransformBMP",229,"0,42",0x7FFCCA571091,23,0,23,0,
"__security_check_cookie",225,"0,41",0x7FFCCA5711AD,66,0,66,0,
"TransformBMP",218,"0,40",0x7FFCCA5710C8,25,0,25,0,
"TransformBMP",217,"0,40",0x7FFCCA571026,6,0,6,0,
"TransformBMP",211,"0,39",0x7FFCCA571060,15,0,15,0,
"DllMain",209,"0,38",0x7FFCCA57100E,0,0,0,0,
"TransformBMP",205,"0,37",0x7FFCCA57109D,24,0,24,0,
"TransformBMP",198,"0,36",0x7FFCCA571169,15,0,15,0,
"dllmain_crt_dispatch",192,"0,35",0x7FFCCA5711BF,136,0,136,0,
"TransformBMP",190,"0,35",0x7FFCCA571183,0,0,0,0,
"TransformBMP",181,"0,33",0x7FFCCA571079,15,0,15,0,
"TransformBMP",181,"0,33",0x7FFCCA5710C8,25,0,25,0,
