Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,0,"ntoskrnl.exe","0,00","15 548,50","15 548,50",
"Thread",0,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",1,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",2,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",3,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",4,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",5,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",6,0,"Unknown","0,00","15 548,50","15 548,50",
"Thread",7,0,"Unknown","0,00","15 548,50","15 548,50",
"Process",1,5048,"JAProject.exe","112,86","15 532,18","15 419,32",
"Thread",8,16068,"Unknown","118,41","15 532,01","15 413,60",
"Thread",9,18024,"Unknown","196,32","15 531,95","15 335,63",
"Thread",10,18224,"Unknown","196,59","15 531,95","15 335,36",
"Thread",11,14184,"Unknown","196,86","15 531,95","15 335,09",
"Thread",12,3984,"Unknown","210,51","352,66","142,14",
"Thread",13,6888,"Unknown","400,58","437,10","36,51",
"Thread",14,11616,"Unknown","401,54","434,47","32,93",
"Thread",15,15332,"Unknown","482,95","515,35","32,40",
"Thread",16,9260,"Unknown","483,75","513,11","29,37",
"Thread",17,19216,"Unknown","484,38","517,84","33,46",
"Thread",18,8452,"Unknown","568,59","597,39","28,80",
"Thread",19,11556,"Unknown","569,22","598,15","28,93",
"Thread",20,19300,"Unknown","569,89","599,56","29,66",
"Thread",21,19092,"Unknown","570,47","602,08","31,61",
"Thread",22,18396,"Unknown","654,51","679,12","24,60",
"Thread",23,15864,"Unknown","655,21","679,17","23,96",
"Thread",24,16252,"Unknown","655,89","680,19","24,31",
"Thread",25,3228,"Unknown","656,59","679,49","22,90",
"Thread",26,15428,"Unknown","657,04","681,02","23,98",
"Thread",27,5888,"Unknown","732,07","752,39","20,32",
"Thread",28,9024,"Unknown","732,67","751,44","18,77",
"Thread",29,19404,"Unknown","733,45","754,18","20,73",
"Thread",30,3160,"Unknown","734,11","756,03","21,92",
"Thread",31,18364,"Unknown","734,57","755,75","21,17",
"Thread",32,16936,"Unknown","735,02","757,03","22,02",
"Thread",33,11724,"Unknown","808,86","826,55","17,68",
"Thread",34,4000,"Unknown","809,58","826,80","17,22",
"Thread",35,8644,"Unknown","810,47","828,80","18,34",
"Thread",36,7560,"Unknown","811,20","832,22","21,02",
"Thread",37,18580,"Unknown","813,88","830,85","16,97",
"Thread",38,19504,"Unknown","814,46","832,09","17,63",
"Thread",39,12024,"Unknown","814,93","838,92","23,98",
"Thread",40,18084,"Unknown","892,53","908,56","16,03",
"Thread",41,7552,"Unknown","893,22","909,07","15,85",
"Thread",42,15420,"Unknown","894,19","909,45","15,25",
"Thread",43,15328,"Unknown","894,89","912,82","17,94",
"Thread",44,14952,"Unknown","895,47","912,43","16,96",
"Thread",45,1084,"Unknown","895,91","911,30","15,39",
"Thread",46,17776,"Unknown","896,32","912,45","16,13",
"Thread",47,13484,"Unknown","898,58","919,07","20,49",
"Thread",48,1132,"Unknown","968,44","982,72","14,28",
"Thread",49,13632,"Unknown","969,00","982,54","13,54",
"Thread",50,5108,"Unknown","969,78","985,03","15,25",
"Thread",51,14680,"Unknown","970,39","986,26","15,87",
"Thread",52,11720,"Unknown","970,85","987,38","16,52",
"Thread",53,15932,"Unknown","971,35","985,03","13,68",
"Thread",54,14016,"Unknown","971,80","986,29","14,49",
"Thread",55,17016,"Unknown","972,29","998,45","26,15",
"Thread",56,15584,"Unknown","985,06","998,67","13,61",
"Thread",57,19460,"Unknown","1 055,36","1 067,42","12,06",
"Thread",58,19156,"Unknown","1 055,82","1 067,60","11,78",
"Thread",59,14180,"Unknown","1 056,43","1 069,30","12,87",
"Thread",60,4792,"Unknown","1 057,11","1 070,98","13,87",
"Thread",61,18684,"Unknown","1 057,55","1 070,20","12,65",
"Thread",62,15636,"Unknown","1 057,98","1 075,73","17,75",
"Thread",63,5172,"Unknown","1 062,87","1 077,25","14,38",
"Thread",64,14820,"Unknown","1 063,89","1 079,79","15,90",
"Thread",65,11364,"Unknown","1 068,55","1 081,96","13,41",
"Thread",66,10124,"Unknown","1 071,01","1 081,27","10,27",
"Thread",67,8372,"Unknown","1 129,39","1 140,95","11,57",
"Thread",68,19784,"Unknown","1 130,03","1 140,69","10,65",
"Thread",69,16952,"Unknown","1 130,65","1 142,66","12,00",
"Thread",70,7356,"Unknown","1 131,22","1 142,89","11,67",
"Thread",71,916,"Unknown","1 131,62","1 142,15","10,54",
"Thread",72,15508,"Unknown","1 132,00","1 144,67","12,67",
"Thread",73,2856,"Unknown","1 132,40","1 150,08","17,68",
"Thread",74,2836,"Unknown","1 137,58","1 152,41","14,83",
"Thread",75,16328,"Unknown","1 141,53","1 153,48","11,95",
"Thread",76,13420,"Unknown","1 142,47","1 152,33","9,86",
"Thread",77,11996,"Unknown","1 142,97","1 153,95","10,98",
"Thread",78,19272,"Unknown","1 206,80","1 217,22","10,42",
"Thread",79,14076,"Unknown","1 207,48","1 217,58","10,10",
"Thread",80,17412,"Unknown","1 208,30","1 220,35","12,04",
"Thread",81,7888,"Unknown","1 208,97","1 219,15","10,19",
"Thread",82,5288,"Unknown","1 209,37","1 219,66","10,29",
"Thread",83,14580,"Unknown","1 209,81","1 221,47","11,65",
"Thread",84,15248,"Unknown","1 210,60","1 228,53","17,94",
"Thread",85,14112,"Unknown","1 217,87","1 229,41","11,54",
"Thread",86,13884,"Unknown","1 218,66","1 230,23","11,57",
"Thread",87,17324,"Unknown","1 219,36","1 230,60","11,24",
"Thread",88,8084,"Unknown","1 219,85","1 232,39","12,54",
"Thread",89,1276,"Unknown","1 220,93","1 231,87","10,94",
"Thread",90,19184,"Unknown","1 279,54","1 290,31","10,76",
"Thread",91,10132,"Unknown","1 280,11","1 288,73","8,61",
"Thread",92,8000,"Unknown","1 280,87","1 291,81","10,94",
"Thread",93,15152,"Unknown","1 281,50","1 291,10","9,60",
"Thread",94,18300,"Unknown","1 281,94","1 292,09","10,16",
"Thread",95,14796,"Unknown","1 282,40","1 299,14","16,74",
"Thread",96,15764,"Unknown","1 282,88","1 296,01","13,13",
"Thread",97,5996,"Unknown","1 285,19","1 298,08","12,90",
"Thread",98,17668,"Unknown","1 289,06","1 300,71","11,65",
"Thread",99,19816,"Unknown","1 291,39","1 301,69","10,30",
"Thread",100,10332,"Unknown","1 292,03","1 302,06","10,02",
"Thread",101,380,"Unknown","1 292,55","1 305,43","12,87",
"Thread",102,19452,"Unknown","1 296,04","1 305,84","9,80",
"Thread",103,15676,"Unknown","1 354,57","1 363,82","9,25",
"Thread",104,8356,"Unknown","1 355,11","1 363,82","8,71",
"Thread",105,9864,"Unknown","1 355,79","1 365,35","9,56",
"Thread",106,3520,"Unknown","1 356,32","1 365,46","9,14",
"Thread",107,20252,"Unknown","1 356,70","1 365,80","9,10",
"Thread",108,14508,"Unknown","1 357,09","1 367,45","10,36",
"Thread",109,16668,"Unknown","1 357,52","1 372,97","15,45",
"Thread",110,5056,"Unknown","1 363,88","1 373,08","9,20",
"Thread",111,5068,"Unknown","1 364,55","1 374,85","10,30",
"Thread",112,17876,"Unknown","1 365,13","1 375,77","10,64",
"Thread",113,15624,"Unknown","1 365,70","1 375,30","9,60",
"Thread",114,7228,"Unknown","1 366,27","1 376,70","10,43",
"Thread",115,6940,"Unknown","1 367,65","1 376,99","9,34",
"Thread",116,1160,"Unknown","1 369,00","1 379,98","10,99",
"Thread",117,20232,"Unknown","1 426,84","1 434,83","7,99",
"Thread",118,11776,"Unknown","1 427,32","1 434,88","7,56",
"Thread",119,17596,"Unknown","1 427,92","1 436,34","8,42",
"Thread",120,10120,"Unknown","1 428,45","1 436,67","8,22",
"Thread",121,13712,"Unknown","1 428,86","1 437,75","8,90",
"Thread",122,17728,"Unknown","1 429,23","1 438,45","9,22",
"Thread",123,1628,"Unknown","1 429,60","1 438,76","9,16",
"Thread",124,8696,"Unknown","1 430,05","1 439,51","9,46",
"Thread",125,16736,"Unknown","1 430,44","1 442,86","12,42",
"Thread",126,15296,"Unknown","1 435,04","1 443,69","8,65",
"Thread",127,5440,"Unknown","1 435,46","1 444,72","9,26",
"Thread",128,19248,"Unknown","1 436,44","1 445,01","8,57",
"Thread",129,14412,"Unknown","1 437,73","1 444,31","6,58",
"Thread",130,11920,"Unknown","1 438,25","1 445,65","7,40",
"Thread",131,5400,"Unknown","1 438,69","1 446,17","7,48",
"Thread",132,16940,"Unknown","1 492,93","1 501,33","8,41",
"Thread",133,11696,"Unknown","1 493,54","1 501,26","7,73",
"Thread",134,9672,"Unknown","1 494,19","1 503,16","8,98",
"Thread",135,872,"Unknown","1 494,74","1 503,32","8,58",
"Thread",136,2124,"Unknown","1 495,23","1 502,97","7,74",
"Thread",137,15704,"Unknown","1 495,62","1 505,11","9,49",
"Thread",138,16552,"Unknown","1 496,01","1 505,10","9,09",
"Thread",139,18492,"Unknown","1 496,57","1 508,70","12,13",
"Thread",140,15792,"Unknown","1 500,17","1 509,15","8,98",
"Thread",141,18780,"Unknown","1 501,49","1 510,52","9,02",
"Thread",142,17860,"Unknown","1 501,95","1 510,55","8,61",
"Thread",143,16264,"Unknown","1 503,25","1 511,17","7,93",
"Thread",144,8792,"Unknown","1 503,63","1 511,87","8,24",
"Thread",145,14152,"Unknown","1 504,03","1 512,42","8,39",
"Thread",146,2964,"Unknown","1 505,26","1 512,33","7,07",
"Thread",147,16112,"Unknown","1 505,66","1 514,60","8,94",
"Thread",148,6072,"Unknown","1 563,56","1 570,96","7,39",
"Thread",149,14864,"Unknown","1 564,09","1 570,91","6,81",
"Thread",150,16000,"Unknown","1 564,72","1 573,44","8,72",
"Thread",151,1916,"Unknown","1 565,28","1 573,45","8,16",
"Thread",152,20112,"Unknown","1 565,67","1 573,68","8,01",
"Thread",153,1480,"Unknown","1 566,04","1 573,44","7,40",
"Thread",154,15760,"Unknown","1 566,43","1 575,24","8,81",
"Thread",155,13360,"Unknown","1 566,82","1 578,71","11,89",
"Thread",156,1592,"Unknown","1 571,31","1 580,87","9,56",
"Thread",157,18824,"Unknown","1 573,47","1 582,16","8,69",
"Thread",158,12484,"Unknown","1 574,67","1 582,58","7,91",
"Thread",159,12652,"Unknown","1 575,46","1 583,63","8,17",
"Thread",160,14480,"Unknown","1 576,01","1 585,29","9,28",
"Thread",161,556,"Unknown","1 577,05","1 585,04","7,99",
"Thread",162,17572,"Unknown","1 577,49","1 585,42","7,93",
"Thread",163,8120,"Unknown","1 577,89","1 585,51","7,62",
"Thread",164,20060,"Unknown","1 579,85","1 587,58","7,72",
"Thread",165,18820,"Unknown","1 634,12","1 640,69","6,57",
"Thread",166,9124,"Unknown","1 634,77","1 641,02","6,25",
"Thread",167,19020,"Unknown","1 635,42","1 642,14","6,72",
"Thread",168,8780,"Unknown","1 635,93","1 643,44","7,51",
"Thread",169,17680,"Unknown","1 636,28","1 643,62","7,33",
"Thread",170,20040,"Unknown","1 636,71","1 643,72","7,00",
"Thread",171,19760,"Unknown","1 637,09","1 644,42","7,33",
"Thread",172,8728,"Unknown","1 637,49","1 645,50","8,01",
"Thread",173,2644,"Unknown","1 637,86","1 647,83","9,97",
"Thread",174,14364,"Unknown","1 640,90","1 648,88","7,98",
"Thread",175,18564,"Unknown","1 641,36","1 649,71","8,35",
"Thread",176,16524,"Unknown","1 642,46","1 650,30","7,85",
"Thread",177,14744,"Unknown","1 643,72","1 650,66","6,94",
"Thread",178,9912,"Unknown","1 644,06","1 651,26","7,20",
"Thread",179,15232,"Unknown","1 644,50","1 651,61","7,10",
"Thread",180,15808,"Unknown","1 644,90","1 651,96","7,06",
"Thread",181,14380,"Unknown","1 645,68","1 655,09","9,41",
"Thread",182,6952,"Unknown","1 648,03","1 655,62","7,59",
"Thread",183,7748,"Unknown","1 701,68","1 708,58","6,90",
"Thread",184,19872,"Unknown","1 702,30","1 708,73","6,43",
"Thread",185,19660,"Unknown","1 703,00","1 710,16","7,15",
"Thread",186,15068,"Unknown","1 703,51","1 709,95","6,43",
"Thread",187,16788,"Unknown","1 704,01","1 710,92","6,90",
"Thread",188,19056,"Unknown","1 704,43","1 711,01","6,59",
"Thread",189,16152,"Unknown","1 704,82","1 711,58","6,76",
"Thread",190,7284,"Unknown","1 705,20","1 712,27","7,07",
"Thread",191,16968,"Unknown","1 705,58","1 715,76","10,18",
"Thread",192,17152,"Unknown","1 708,86","1 716,16","7,30",
"Thread",193,13416,"Unknown","1 709,26","1 717,02","7,76",
"Thread",194,19200,"Unknown","1 710,06","1 716,87","6,80",
"Thread",195,16500,"Unknown","1 710,48","1 717,81","7,33",
"Thread",196,2260,"Unknown","1 711,02","1 718,26","7,24",
"Thread",197,19412,"Unknown","1 711,41","1 718,39","6,97",
"Thread",198,19904,"Unknown","1 711,83","1 720,09","8,25",
"Thread",199,9492,"Unknown","1 712,44","1 720,44","8,00",
"Thread",200,6356,"Unknown","1 715,89","1 721,86","5,97",
"Thread",201,17180,"Unknown","1 716,58","1 721,25","4,66",
"Thread",202,15448,"Unknown","1 767,82","1 781,83","14,01",
"Thread",203,19828,"Unknown","1 775,82","1 782,15","6,33",
"Thread",204,13432,"Unknown","1 776,54","1 783,60","7,06",
"Thread",205,13152,"Unknown","1 777,13","1 783,68","6,56",
"Thread",206,15388,"Unknown","1 777,55","1 784,44","6,90",
"Thread",207,19924,"Unknown","1 777,98","1 784,56","6,59",
"Thread",208,17420,"Unknown","1 778,42","1 784,90","6,48",
"Thread",209,19160,"Unknown","1 778,83","1 785,72","6,89",
"Thread",210,16944,"Unknown","1 779,22","1 788,37","9,15",
"Thread",211,15800,"Unknown","1 782,03","1 789,66","7,63",
"Thread",212,13932,"Unknown","1 783,63","1 790,74","7,11",
"Thread",213,16724,"Unknown","1 784,08","1 790,31","6,23",
"Thread",214,9176,"Unknown","1 784,53","1 790,83","6,30",
"Thread",215,5044,"Unknown","1 784,93","1 791,68","6,75",
"Thread",216,15108,"Unknown","1 785,34","1 792,41","7,07",
"Thread",217,2848,"Unknown","1 785,74","1 793,27","7,52",
"Thread",218,2652,"Unknown","1 786,13","1 794,77","8,63",
"Thread",219,8044,"Unknown","1 788,55","1 795,86","7,32",
"Thread",220,18688,"Unknown","1 790,49","1 796,78","6,29",
"Thread",221,16628,"Unknown","1 790,94","1 796,47","5,53",
"Thread",222,12932,"Unknown","1 845,62","1 852,78","7,16",
"Thread",223,8272,"Unknown","1 846,34","1 852,42","6,08",
"Thread",224,20436,"Unknown","1 847,13","1 854,77","7,64",
"Thread",225,18152,"Unknown","1 848,00","1 854,89","6,89",
"Thread",226,1460,"Unknown","1 849,19","1 856,99","7,80",
"Thread",227,14544,"Unknown","1 849,67","1 861,36","11,69",
"Thread",228,10060,"Unknown","1 851,47","1 860,73","9,26",
"Thread",229,19168,"Unknown","1 854,81","1 861,93","7,12",
"Thread",230,16128,"Unknown","1 855,60","1 866,91","11,30",
"Thread",231,11432,"Unknown","1 857,02","1 864,98","7,96",
"Thread",232,8784,"Unknown","1 858,56","1 867,21","8,65",
"Thread",233,1004,"Unknown","1 860,14","1 868,14","8,00",
"Thread",234,8276,"Unknown","1 861,64","1 868,47","6,83",
"Thread",235,7812,"Unknown","1 862,15","1 871,73","9,57",
"Thread",236,11500,"Unknown","1 864,72","1 871,63","6,91",
"Thread",237,2584,"Unknown","1 865,47","1 874,98","9,51",
"Thread",238,11948,"Unknown","1 867,24","1 873,52","6,28",
"Thread",239,18240,"Unknown","1 867,66","1 874,27","6,61",
"Thread",240,18716,"Unknown","1 868,38","1 875,28","6,90",
"Thread",241,15980,"Unknown","1 868,87","1 875,33","6,46",
"Thread",242,3720,"Unknown","1 869,65","1 877,14","7,49",
"Thread",243,20468,"Unknown","1 925,73","1 931,20","5,47",
"Thread",244,16460,"Unknown","1 926,25","1 931,40","5,15",
"Thread",245,2832,"Unknown","1 926,95","1 932,88","5,93",
"Thread",246,3544,"Unknown","1 927,51","1 932,91","5,40",
"Thread",247,13764,"Unknown","1 927,95","1 934,09","6,14",
"Thread",248,18068,"Unknown","1 928,51","1 934,97","6,46",
"Thread",249,19048,"Unknown","1 928,94","1 935,05","6,11",
"Thread",250,1872,"Unknown","1 929,31","1 935,80","6,49",
"Thread",251,14584,"Unknown","1 929,70","1 938,07","8,37",
"Thread",252,16744,"Unknown","1 931,42","1 938,15","6,73",
"Thread",253,19136,"Unknown","1 931,81","1 939,31","7,51",
"Thread",254,15640,"Unknown","1 933,27","1 940,60","7,33",
"Thread",255,20240,"Unknown","1 934,29","1 940,33","6,03",
"Thread",256,17932,"Unknown","1 934,95","1 941,58","6,62",
"Thread",257,15724,"Unknown","1 935,72","1 942,72","7,00",
"Thread",258,15836,"Unknown","1 936,15","1 943,59","7,44",
"Thread",259,11808,"Unknown","1 937,80","1 943,58","5,78",
"Thread",260,15856,"Unknown","1 938,25","1 944,47","6,22",
"Thread",261,5596,"Unknown","1 938,64","1 945,15","6,50",
"Thread",262,10808,"Unknown","1 939,56","1 945,54","5,98",
"Thread",263,6980,"Unknown","1 940,72","1 945,99","5,27",
"Thread",264,18988,"Unknown","1 941,60","1 945,85","4,25",
"Thread",265,15660,"Unknown","1 992,06","1 997,32","5,26",
"Thread",266,15260,"Unknown","1 992,68","1 997,52","4,84",
"Thread",267,5600,"Unknown","1 993,37","1 999,26","5,89",
"Thread",268,1088,"Unknown","1 993,90","1 999,82","5,92",
"Thread",269,15852,"Unknown","1 994,27","2 002,64","8,36",
"Thread",270,12772,"Unknown","1 994,64","2 001,55","6,91",
"Thread",271,6760,"Unknown","1 995,02","2 002,76","7,73",
"Thread",272,6288,"Unknown","1 995,90","2 004,66","8,76",
"Thread",273,500,"Unknown","1 999,06","2 005,82","6,76",
"Thread",274,16708,"Unknown","2 000,35","2 007,49","7,14",
"Thread",275,14392,"Unknown","2 001,59","2 008,36","6,77",
"Thread",276,11888,"Unknown","2 002,35","2 008,47","6,12",
"Thread",277,4676,"Unknown","2 002,87","2 008,47","5,61",
"Thread",278,17824,"Unknown","2 003,25","2 009,64","6,39",
"Thread",279,8348,"Unknown","2 003,66","2 012,13","8,48",
"Thread",280,19516,"Unknown","2 005,99","2 013,00","7,01",
"Thread",281,14484,"Unknown","2 006,56","2 013,08","6,52",
"Thread",282,11160,"Unknown","2 007,46","2 013,95","6,48",
"Thread",283,14148,"Unknown","2 007,88","2 013,84","5,96",
"Thread",284,5380,"Unknown","2 008,47","2 013,68","5,22",
"Thread",285,20080,"Unknown","2 008,88","2 014,80","5,92",
"Thread",286,1676,"Unknown","2 009,28","2 014,39","5,11",
"Thread",287,904,"Unknown","2 009,82","2 016,24","6,42",
"Thread",288,2728,"Unknown","2 062,44","2 067,40","4,96",
"Thread",289,17160,"Unknown","2 063,08","2 068,00","4,92",
"Thread",290,7716,"Unknown","2 063,86","2 068,86","5,00",
