Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,0,0,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,1,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,2,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,3,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,4,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,5,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,6,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
0,0,7,0,"Unknown","0,00","15 548,50",18 446 735 305 193 836 448,"15 548,50",
1,5048,8,16068,"Unknown","118,41","15 532,01",140 697 750 952 588,"15 413,60",
1,5048,9,18024,"Unknown","196,32","15 531,95",140 723 806 354 784,"15 335,63",
1,5048,10,18224,"Unknown","196,59","15 531,95",140 723 806 354 784,"15 335,36",
1,5048,11,14184,"Unknown","196,86","15 531,95",140 723 806 354 784,"15 335,09",
1,5048,12,3984,"Unknown","210,51","352,66",140 723 772 198 448,"142,14",
1,5048,13,6888,"Unknown","400,58","437,10",140 723 772 198 448,"36,51",
1,5048,14,11616,"Unknown","401,54","434,47",140 723 772 198 448,"32,93",
1,5048,15,15332,"Unknown","482,95","515,35",140 723 772 198 448,"32,40",
1,5048,16,9260,"Unknown","483,75","513,11",140 723 772 198 448,"29,37",
1,5048,17,19216,"Unknown","484,38","517,84",140 723 772 198 448,"33,46",
1,5048,18,8452,"Unknown","568,59","597,39",140 723 772 198 448,"28,80",
1,5048,19,11556,"Unknown","569,22","598,15",140 723 772 198 448,"28,93",
1,5048,20,19300,"Unknown","569,89","599,56",140 723 772 198 448,"29,66",
1,5048,21,19092,"Unknown","570,47","602,08",140 723 772 198 448,"31,61",
1,5048,22,18396,"Unknown","654,51","679,12",140 723 772 198 448,"24,60",
1,5048,23,15864,"Unknown","655,21","679,17",140 723 772 198 448,"23,96",
1,5048,24,16252,"Unknown","655,89","680,19",140 723 772 198 448,"24,31",
1,5048,25,3228,"Unknown","656,59","679,49",140 723 772 198 448,"22,90",
1,5048,26,15428,"Unknown","657,04","681,02",140 723 772 198 448,"23,98",
1,5048,27,5888,"Unknown","732,07","752,39",140 723 772 198 448,"20,32",
1,5048,28,9024,"Unknown","732,67","751,44",140 723 772 198 448,"18,77",
1,5048,29,19404,"Unknown","733,45","754,18",140 723 772 198 448,"20,73",
1,5048,30,3160,"Unknown","734,11","756,03",140 723 772 198 448,"21,92",
1,5048,31,18364,"Unknown","734,57","755,75",140 723 772 198 448,"21,17",
1,5048,32,16936,"Unknown","735,02","757,03",140 723 772 198 448,"22,02",
1,5048,33,11724,"Unknown","808,86","826,55",140 723 772 198 448,"17,68",
1,5048,34,4000,"Unknown","809,58","826,80",140 723 772 198 448,"17,22",
1,5048,35,8644,"Unknown","810,47","828,80",140 723 772 198 448,"18,34",
1,5048,36,7560,"Unknown","811,20","832,22",140 723 772 198 448,"21,02",
1,5048,37,18580,"Unknown","813,88","830,85",140 723 772 198 448,"16,97",
1,5048,38,19504,"Unknown","814,46","832,09",140 723 772 198 448,"17,63",
1,5048,39,12024,"Unknown","814,93","838,92",140 723 772 198 448,"23,98",
1,5048,40,18084,"Unknown","892,53","908,56",140 723 772 198 448,"16,03",
1,5048,41,7552,"Unknown","893,22","909,07",140 723 772 198 448,"15,85",
1,5048,42,15420,"Unknown","894,19","909,45",140 723 772 198 448,"15,25",
1,5048,43,15328,"Unknown","894,89","912,82",140 723 772 198 448,"17,94",
1,5048,44,14952,"Unknown","895,47","912,43",140 723 772 198 448,"16,96",
1,5048,45,1084,"Unknown","895,91","911,30",140 723 772 198 448,"15,39",
1,5048,46,17776,"Unknown","896,32","912,45",140 723 772 198 448,"16,13",
1,5048,47,13484,"Unknown","898,58","919,07",140 723 772 198 448,"20,49",
1,5048,48,1132,"Unknown","968,44","982,72",140 723 772 198 448,"14,28",
1,5048,49,13632,"Unknown","969,00","982,54",140 723 772 198 448,"13,54",
1,5048,50,5108,"Unknown","969,78","985,03",140 723 772 198 448,"15,25",
1,5048,51,14680,"Unknown","970,39","986,26",140 723 772 198 448,"15,87",
1,5048,52,11720,"Unknown","970,85","987,38",140 723 772 198 448,"16,52",
1,5048,53,15932,"Unknown","971,35","985,03",140 723 772 198 448,"13,68",
1,5048,54,14016,"Unknown","971,80","986,29",140 723 772 198 448,"14,49",
1,5048,55,17016,"Unknown","972,29","998,45",140 723 772 198 448,"26,15",
1,5048,56,15584,"Unknown","985,06","998,67",140 723 772 198 448,"13,61",
1,5048,57,19460,"Unknown","1 055,36","1 067,42",140 723 772 198 448,"12,06",
1,5048,58,19156,"Unknown","1 055,82","1 067,60",140 723 772 198 448,"11,78",
1,5048,59,14180,"Unknown","1 056,43","1 069,30",140 723 772 198 448,"12,87",
1,5048,60,4792,"Unknown","1 057,11","1 070,98",140 723 772 198 448,"13,87",
1,5048,61,18684,"Unknown","1 057,55","1 070,20",140 723 772 198 448,"12,65",
1,5048,62,15636,"Unknown","1 057,98","1 075,73",140 723 772 198 448,"17,75",
1,5048,63,5172,"Unknown","1 062,87","1 077,25",140 723 772 198 448,"14,38",
1,5048,64,14820,"Unknown","1 063,89","1 079,79",140 723 772 198 448,"15,90",
1,5048,65,11364,"Unknown","1 068,55","1 081,96",140 723 772 198 448,"13,41",
1,5048,66,10124,"Unknown","1 071,01","1 081,27",140 723 772 198 448,"10,27",
1,5048,67,8372,"Unknown","1 129,39","1 140,95",140 723 772 198 448,"11,57",
1,5048,68,19784,"Unknown","1 130,03","1 140,69",140 723 772 198 448,"10,65",
1,5048,69,16952,"Unknown","1 130,65","1 142,66",140 723 772 198 448,"12,00",
1,5048,70,7356,"Unknown","1 131,22","1 142,89",140 723 772 198 448,"11,67",
1,5048,71,916,"Unknown","1 131,62","1 142,15",140 723 772 198 448,"10,54",
1,5048,72,15508,"Unknown","1 132,00","1 144,67",140 723 772 198 448,"12,67",
1,5048,73,2856,"Unknown","1 132,40","1 150,08",140 723 772 198 448,"17,68",
1,5048,74,2836,"Unknown","1 137,58","1 152,41",140 723 772 198 448,"14,83",
1,5048,75,16328,"Unknown","1 141,53","1 153,48",140 723 772 198 448,"11,95",
1,5048,76,13420,"Unknown","1 142,47","1 152,33",140 723 772 198 448,"9,86",
1,5048,77,11996,"Unknown","1 142,97","1 153,95",140 723 772 198 448,"10,98",
1,5048,78,19272,"Unknown","1 206,80","1 217,22",140 723 772 198 448,"10,42",
1,5048,79,14076,"Unknown","1 207,48","1 217,58",140 723 772 198 448,"10,10",
1,5048,80,17412,"Unknown","1 208,30","1 220,35",140 723 772 198 448,"12,04",
